ID,oliver,meyers,colbert,sambee,hannity,carlson,maddow,tapper,cooper,lindsay,cruz,mitch,paulryan,berie,warren,kamala,beto,ratedogs,rowling,james,elonmusk
503754715,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
556322208,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1006769493882916864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343124459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
328964158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51380150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
902125015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2470356524,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
84428720,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1
349166197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50784060,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1
1065174032453033984,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
214358043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
771888878932389888,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1
502162404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806374210566291456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389043512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1541641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21474769,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
118170127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
285656852,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1
243783882,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
820646072934465537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1861410715,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
1335508441,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0
3762137175,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2748063723,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
